cwe_id,name,type,score,relationship_count
123,Write-what-where Condition,base,4.8204,0
1284,Improper Validation of Specified Quantity in Input,base,4.329000000000001,0
787,Out-of-bounds Write,base,4.329000000000001,0
416,Use After Free,variant,4.20432,0
617,Reachable Assertion,base,3.8870000000000005,0
129,Improper Validation of Array Index,variant,3.8784,0
456,Missing Initialization of a Variable,variant,3.8784,0
457,Use of Uninitialized Variable,variant,3.8784,0
128,Wrap-around Error,base,3.5671999999999997,0
1339,Insufficient Precision or Accuracy of a Real Number,base,3.5671999999999997,0
