cwe_id,name,type,score,relationship_count
22,Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),base,4.329000000000001,0
770,Allocation of Resources Without Limits or Throttling,base,4.329000000000001,0
73,External Control of File Name or Path,base,4.329000000000001,0
190,Integer Overflow or Wraparound,base,4.329000000000001,0
1284,Improper Validation of Specified Quantity in Input,base,4.329000000000001,0
476,NULL Pointer Dereference,base,4.329000000000001,0
789,Memory Allocation with Excessive Size Value,variant,3.8784,0
1287,Improper Validation of Specified Type of Input,base,3.6399999999999997,0
1325,Improperly Controlled Sequential Memory Allocation,base,3.5671999999999997,0
41,Improper Resolution of Path Equivalence,Base,3.3254108896248495,0
