cwe_id,name,type,score,relationship_count
78,Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection'),base,5.031000000000001,0
98,Improper Control of Filename for Include/Require Statement in PHP Program ('PHP Remote File Inclusion'),variant,4.5264,0
434,Unrestricted Upload of File with Dangerous Type,base,4.329000000000001,0
94,Improper Control of Generation of Code ('Code Injection'),base,4.329000000000001,0
22,Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),base,4.329000000000001,0
426,Untrusted Search Path,base,3.6399999999999997,0
266,Incorrect Privilege Assignment,base,3.6399999999999997,0
843,Access of Resource Using Incompatible Type ('Type Confusion'),base,3.4361600000000005,0
73,External Control of File Name or Path,Base,3.3166091655023533,0
89,Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection'),base,3.302,0
