cwe_id,name,type,score,relationship_count
22,Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),base,4.329000000000001,0
613,Insufficient Session Expiration,base,4.329000000000001,0
1275,Sensitive Cookie with Improper SameSite Attribute,variant,3.8784,0
202,Exposure of Sensitive Information Through Data Queries,base,3.6399999999999997,0
178,Improper Handling of Case Sensitivity,base,3.6399999999999997,0
1289,Improper Validation of Unsafe Equivalence in Input,base,3.6399999999999997,0
209,Generation of Error Message Containing Sensitive Information,base,3.6399999999999997,0
73,External Control of File Name or Path,base,3.3566,0
352,Cross-Site Request Forgery (CSRF),compound,3.0919999999999996,0
20,Improper Input Validation,class,2.984,0
