cwe_id,name,type,score,relationship_count
804,Guessable CAPTCHA,base,4.329000000000001,0
321,Use of Hard-coded Cryptographic Key,variant,4.0104,0
259,Use of Hard-coded Password,variant,4.0104,0
257,Storing Passwords in a Recoverable Format,base,3.6399999999999997,0
266,Incorrect Privilege Assignment,base,3.6399999999999997,0
471,Modification of Assumed-Immutable Data (MAID),base,3.055,0
1282,Assumed-Immutable Data is Stored in Writable Memory,base,2.8651999999999997,0
208,Observable Timing Discrepancy,base,2.73416,0
425,Direct Request ('Forced Browsing'),base,2.73416,0
499,Serializable Class Containing Sensitive Data,variant,2.6784000000000003,0
