cwe_id,name,type,score,relationship_count
170,Improper Null Termination,base,5.031000000000001,0
120,Buffer Copy without Checking Size of Input ('Classic Buffer Overflow'),base,4.8204,0
195,Signed to Unsigned Conversion Error,variant,4.5264,0
123,Write-what-where Condition,base,4.329000000000001,0
1284,Improper Validation of Specified Quantity in Input,base,4.329000000000001,0
617,Reachable Assertion,base,4.329000000000001,0
463,Deletion of Data Structure Sentinel,base,3.6399999999999997,0
128,Wrap-around Error,base,3.5671999999999997,0
131,Incorrect Calculation of Buffer Size,Base,2.9062313126373613,0
805,Buffer Access with Incorrect Length Value,Base,2.905699620908141,0
