cwe_id,name,type,score,relationship_count
259,Use of Hard-coded Password,variant,4.0104,0
321,Use of Hard-coded Cryptographic Key,variant,4.0104,0
178,Improper Handling of Case Sensitivity,base,3.757,0
257,Storing Passwords in a Recoverable Format,base,3.6399999999999997,0
1289,Improper Validation of Unsafe Equivalence in Input,base,3.6399999999999997,0
289,Authentication Bypass by Alternate Name,base,2.8651999999999997,0
481,Assigning instead of Comparing,variant,2.6784000000000003,0
456,Missing Initialization of a Variable,variant,2.5507200000000005,0
274,Improper Handling of Insufficient Privileges,Base,2.493194190131689,0
280,Improper Handling of Insufficient Permissions or Privileges ,Base,2.4887621310987447,0
